name,incl,q,r1,r2,ecc,T2/T1,R2
LC-GFAZ,89.23964403,0.465042237,0.327520933,0.128861055,0.040372515,1.143764204,0.9993
LC-GUVY,81.00399855,0.305083159,0.423635518,0.167061778,0.020596854,0.75849804,0.9995
LC-GYIP,86.1470411,0.6750229,0.191924397,0.058358969,0.01700812,0.666946097,0.9983
LC-H7A9,82.9944829,0.459628617,0.342781249,0.077656028,0.040713229,1.072006916,0.9986
LC-H955,84.19310951,0.694137968,0.356220031,0.145529234,0.069161049,0.726554962,0.9998
LC-HE5T,86.78828647,0.133089231,0.383125081,0.154774909,0.038715964,1.125008789,0.9994
LC-HI00,78.48587784,0.131173663,0.388537073,0.134346745,0.01258844,1.010697118,0.999
LC-HK1R,83.21211638,0.025455529,0.312726479,0.097319326,0.033769687,0.732915799,0.9984
LC-HMSA,89.27830065,0.198060744,0.354649162,0.070286631,0.07024767,0.870711074,0.9969
LC-HTT3,80.3587645,0.342080872,0.398834866,0.143878493,0.002359884,1.045885389,0.9981
LC-HUMH,83.84226272,0.21326163,0.26147704,0.065195807,0.024019624,1.227311397,0.998
LC-IAC1,89.49625006,0.814012494,0.319649869,0.204143057,0.004250263,1.143127988,0.9998
LC-IEQG,81.9002004,0.285922291,0.455788403,0.251261895,0.037978654,0.73761575,0.9998
LC-ISQL,84.4638381,0.285647658,0.44301962,0.232744709,0.096877274,0.895298123,0.9996
LC-J063,81.24486743,0.277721341,0.408419186,0.192133421,0.019868658,1.064981752,0.9998
LC-J8ZD,79.65320086,0.350865672,0.410114678,0.163620858,0.005318232,0.750784067,0.9997
LC-J90Z,84.00932961,0.261533146,0.302123837,0.053472409,0.007032061,1.131917566,0.9973
LC-J95Q,78.32987013,0.200859156,0.452049674,0.155409833,0.028911442,1.002077117,0.9994
LC-JC1S,83.24255468,0.656658706,0.362783126,0.189573296,0.021451611,0.539424705,0.9995
LC-JC5L,82.53204777,0.28561414,0.310559603,0.152284,0.020314303,1.068812873,0.9997
LC-JC7H,82.71629638,0.423836732,0.330292589,0.130537411,0.063605358,1.062815624,0.9992
LC-JED0,79.71152646,0.103678799,0.434647347,0.12724695,0.114085859,1.049919661,0.9984
LC-JFJR,83.44711244,0.083339779,0.342296146,0.155843045,0.089191403,0.682709747,0.9995
LC-JLCS,85.12324715,0.669722648,0.104223043,0.26565698,0.05159074,1.133364392,0.9988
