name,T1,T2,incl,q,r1,r2,ecc,R2
LC-JTLQ,4759.067642,4895.903314,83.45295133,0.904554419,0.335152725,0.146608768,0.043952411,0.9994
LC-JUUI,8804.706866,5585.214704,86.78024876,0.347367946,0.388469335,0.286226273,0.023222788,0.9998
LC-JV8D,6232.116207,3833.084216,81.17737263,0.815320545,0.348974556,0.119286521,0.092189489,0.9991
LC-K750,4813.729229,5080.445674,85.648077,0.195421019,0.41993985,0.224597943,0.030577506,0.9996
LC-K9S9,10551.96738,5663.176464,79.74594857,0.853814266,0.333774206,0.116916426,0.043961177,0.9998
LC-KAMJ,10321.25687,7840.554486,81.00462255,0.225395344,0.320537328,0.09128029,0.118225832,0.9979
LC-KGZ2,11096.24323,12015.07784,86.68643349,0.167568923,0.373975664,0.178534914,0.075864709,0.9996
LC-KH4P,11193.77881,7748.041505,80.62462988,0.407697531,0.389904766,0.148077166,0.070876113,0.9997
LC-KIE2,6436.82837,6157.190923,84.39638764,0.058211902,0.297332269,0.103559856,0.088651832,0.9986
LC-KINU,6283.730255,6793.528346,80.10591794,0.170934613,0.331734794,0.131518873,0.03959718,0.9994
LC-KJVF,10547.53141,12198.26279,86.11868713,0.583813418,0.309230739,0.112016166,0.225792728,0.9992
LC-KMPR,6582.05591,5536.165867,77.53436564,0.794489086,0.365504637,0.091365417,0.031318352,0.9992
LC-KMPW,11754.85206,9042.590567,88.31737292,0.109300704,0.327172073,0.155201226,0.076781874,0.9992
LC-KO9I,7685.901349,5071.072372,85.86744333,0.131434672,0.306491959,0.105572332,0.162984684,0.9989
LC-KV15,11301.75293,5721.010836,85.14678712,0.070441892,0.269836125,0.132559343,0.104739509,0.9997
LC-L3I2,8667.590758,8024.532756,84.08542713,0.440568727,0.39283329,0.195727176,0.030199438,0.999
LC-LCWW,6419.289491,6379.929157,87.28167654,0.192267223,0.25298193,0.128191846,0.000787823,0.9987
LC-LGQK,10646.55504,9271.325407,81.47196851,0.085851351,0.333547061,0.141646484,0.090707277,0.9992
LC-LHNN,6650.910351,4371.492055,79.3521089,0.174509928,0.352237061,0.136019906,0.019744603,0.9942
LC-LTJA,9585.489754,7154.080765,83.58087641,0.194789699,0.35105534,0.116153006,0.027310371,0.9993
LC-LVKU,7044.896087,5285.645801,79.92400451,0.21413724,0.368213618,0.167878075,0.006208564,0.9995
LC-LW8P,12306.43468,9434.536334,86.81274625,0.19578648,0.406323693,0.216426188,0.063105119,0.9992
LC-LXI8,11302.68421,8027.36465,88.29742199,0.169122329,0.254066594,0.153434242,0.018827572,0.9996
LC-LYVT,11237.22928,6940.207177,84.87228147,0.014878484,0.341309318,0.084080371,0.054106995,0.9981
LC-MHI7,12432.52761,11425.47635,87.91227018,0.306790382,0.208576875,0.138393156,0.009214578,0.9999
LC-MJDJ,5507.269912,6418.40784,82.2502429,0.551326068,0.339856672,0.058965457,0.020960713,0.9989
LC-MRFS,8873.314686,7759.57893,86.55025482,0.536894072,0.328108553,0.220189162,0.098211933,0.9995
LC-MX8X,11025.60202,10937.82543,81.37014585,0.653037953,0.380408913,0.092419234,0.015627285,0.9997
LC-N8Z2,11434.25284,6699.816164,78.94696267,0.261644367,0.372700688,0.06305023,0.02251595,0.9987
LC-NCBW,8856.83143,8228.882357,87.38865236,0.543652915,0.348359829,0.21848067,0.004053683,0.9999
LC-NDPB,8154.233841,6369.197055,84.70515472,0.064716842,0.341885886,0.094642748,0.048732305,0.9985
LC-NL8U,4671.354715,4567.442468,84.88739213,0.314990581,0.354339051,0.194533771,0.024241465,0.9994
LC-NLY7,11775.46703,7796.553135,86.04673208,0.233345989,0.380261538,0.262382184,0.059577573,0.9994
LC-NNIN,8714.752061,7385.660014,89.7229628,0.318127591,0.214335365,0.153480535,0.013773083,0.9999
LC-NPZC,10736.8757,9660.910629,81.02015734,0.677890415,0.31289623,0.103853359,0.047563474,0.9993
LC-O1MS,12365.25516,8413.111627,85.25892766,0.319327475,0.398526082,0.137675995,0.104862093,0.9995
LC-O5UB,6859.798477,7727.32962,84.89393384,0.126345697,0.399523003,0.088656412,0.105015444,0.9978
LC-ODR8,11301.49572,7707.70321,86.15727326,0.487994811,0.289568027,0.095349565,0.00161258,0.9995
LC-OPYR,5835.517162,5078.010056,79.2968373,0.514789434,0.327527716,0.063496657,0.04631506,0.9977
LC-OWYN,7208.896583,5559.698594,71.68052239,0.017767812,0.426311763,0.099765519,0.060549057,0.9969
LC-OZII,4558.426198,3932.208788,85.34819884,0.16851939,0.353496742,0.189937423,0.055552847,0.999
LC-P55R,8005.03111,7226.919424,84.32206977,0.289720989,0.326378648,0.199945471,0.143459205,0.9996
LC-P6X9,4908.58408,3864.125203,84.19064805,0.469592188,0.408466448,0.198715987,0.062621681,0.9997
LC-P7SX,8684.242014,6020.068759,82.48281878,0.460090724,0.357747947,0.101905831,0.032325207,0.9992
LC-PD51,5328.369592,3826.247652,80.02421081,0.718491213,0.298168346,0.098213205,0.008595681,0.9994
LC-PNXZ,8432.896271,6384.992687,87.10469962,0.085566806,0.355464456,0.069860814,0.105769695,0.9967
LC-PWDO,11043.21788,11856.6385,78.22122131,0.570179366,0.324851628,0.063975723,0.065027682,0.9991
LC-PWUA,11139.92228,9986.52728,88.47375634,0.217231768,0.381285109,0.092037713,0.08302927,0.9991
LC-Q1ZG,7213.249382,6794.846258,84.52636026,0.685234827,0.382173487,0.189838193,0.04938224,0.9997
LC-Q3IS,10656.13953,6182.695782,87.93789102,0.114238649,0.378811229,0.138029576,0.14267362,0.9994
LC-QF7G,10622.24905,12464.18071,80.44303821,0.117130079,0.395618116,0.173016237,0.063388946,0.9996
LC-QI6Y,6650.588163,6977.530159,81.13318346,0.00175738,0.338622214,0.070575355,0.012064769,0.9962
LC-QKGD,10103.89805,11506.04969,80.61571276,0.257031582,0.41467973,0.165289131,0.028729268,0.9999
LC-QL9N,10203.09142,5115.94532,88.61253647,0.011860288,0.203382364,0.042441019,0.070639987,0.9963
LC-QSQM,11166.31533,6647.621577,87.54203434,0.22691148,0.24203444,0.172480851,0.040119,0.9998
LC-QSTM,9849.213326,4581.251367,86.69494836,0.011116478,0.291355801,0.078859288,0.10675394,0.9973
LC-QWPH,10663.95252,6948.970924,78.61323234,0.560121515,0.331559576,0.063339837,0.061238092,0.9993
