Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 14842303,6739,7365,70.719,1.158,0.031,0.021,0.374,0.144,0.991
TIC 148963419,7209,5161,81.069,0.205,0.967,0.033,0.320,0.377,0.999
TIC 149976187,6492,6633,69.907,0.253,0.066,0.003,0.402,0.182,0.997
TIC 152592870,7511,5112,77.795,0.658,0.427,0.028,0.440,0.308,0.990
TIC 152796589,7569,5664,64.047,0.914,0.630,0.135,0.321,0.340,0.984
TIC 152926076,6412,4390,78.322,0.356,0.119,0.001,0.533,0.216,0.998
TIC 153352537,5404,5509,70.506,2.060,0.067,0.057,0.405,0.182,0.986
TIC 153991851,6671,4601,76.701,0.533,0.540,0.025,0.421,0.327,0.994
TIC 154096314,6518,4784,63.283,2.223,0.117,0.018,0.560,0.215,0.973
TIC 154339231,4656,4386,82.657,0.735,0.665,0.126,0.343,0.344,0.985
TIC 155915231,6349,5541,70.380,0.504,0.349,0.027,0.456,0.292,0.996
TIC 15613315,6852,5992,78.993,0.231,0.089,0.001,0.442,0.199,0.991
TIC 156414921,5941,5323,75.940,0.318,0.179,0.002,0.530,0.243,0.998
TIC 158431889,7284,4998,82.032,0.953,0.140,0.008,0.474,0.227,0.959
TIC 159169838,7969,5062,89.531,0.394,0.379,0.002,0.462,0.298,0.992
TIC 15937107,3717,3509,89.482,0.473,0.799,0.068,0.321,0.360,0.987
TIC 159628659,9314,6940,66.527,1.169,0.664,0.136,0.411,0.344,0.864
TIC 159875384,6565,4346,79.595,0.491,0.228,0.003,0.509,0.260,0.931
TIC 160492551,5771,3801,55.539,0.166,0.985,0.054,0.343,0.379,0.982
TIC 161287859,5593,5142,68.260,1.156,0.208,0.068,0.487,0.254,0.992
TIC 161563111,9678,6575,72.905,0.151,0.684,0.015,0.412,0.347,0.970
TIC 161687311,8347,5895,72.641,0.197,0.137,0.021,0.421,0.225,0.990
TIC 164375251,7507,6099,80.743,2.261,0.249,0.009,0.501,0.266,0.996
TIC 164463075,6297,4852,68.118,0.246,0.954,0.053,0.359,0.376,0.997
TIC 164646288,7260,5292,69.485,0.440,0.336,0.028,0.378,0.289,0.994
TIC 164782264,7012,5499,68.951,0.746,0.456,0.046,0.443,0.313,0.996
TIC 165124220,5192,3783,74.057,0.768,0.473,0.066,0.339,0.316,0.996
TIC 165618747,7662,5488,69.697,0.406,0.277,0.018,0.430,0.274,0.999
TIC 165831949,7146,5016,87.166,0.608,0.356,0.003,0.470,0.293,0.987
TIC 166276444,4910,3638,74.327,0.613,0.538,0.147,0.339,0.327,0.981
TIC 167196599,6869,5117,86.164,0.124,0.579,0.004,0.412,0.333,0.996
TIC 167673754,7740,5426,87.311,1.658,0.303,0.009,0.484,0.281,0.964
TIC 167694820,6820,6155,66.796,0.475,0.665,0.071,0.408,0.344,0.988
TIC 167722431,7148,5248,84.072,0.200,0.348,0.001,0.472,0.292,0.991
