name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,ecc,eccerror,f1,f2,R2
TIC 167746516,6429,4511,85.291,1.087,0.434,0.06,0.264,0.005,0.117,0.003,0.002,0.008,0.583,0.378,0.999
TIC 167747439,6438,3799,85.591,1.122,0.322,0.131,0.166,0.01,0.036,0.002,0.006,0.002,0.346,0.125,0.988
TIC 168851294,6987,4644,85.391,0.427,0.178,0.022,0.412,0.002,0.232,0.004,0.002,0.001,0.777,0.954,0.981
TIC 169573910,9276,7389,83.197,0.242,0.061,0.005,0.316,0.005,0.166,0.002,0.004,0,0.512,0.93,0.998
TIC 176910080,5857,3448,83.254,1.472,0.26,0.13,0.234,0.015,0.056,0.004,0.004,0.003,0.47,0.207,0.992
TIC 177823340,5287,4250,83.617,0.587,0.411,0.045,0.26,0.004,0.126,0.002,0.004,0.002,0.569,0.412,0.997
TIC 180761818,5870,3545,84.068,0.396,0.561,0.041,0.197,0.004,0.073,0.002,0.003,0.001,0.459,0.22,0.968
TIC 181226824,5474,3636,84.679,1.619,0.575,0.137,0.268,0.012,0.112,0.007,0.007,0.001,0.626,0.338,0.989
TIC 181862539,6713,6734,85.772,0.376,0.162,0.02,0.26,0.003,0.134,0.001,0,0,0.483,0.564,0.988
TIC 181862541,6469,6559,84.59,2.601,0.169,0.085,0.26,0.009,0.133,0.017,0.001,0.001,0.486,0.555,0.993
TIC 184318481,8047,4028,88.757,1.301,0.153,0.092,0.211,0.007,0.122,0.005,0.004,0.002,0.388,0.521,0.987
TIC 188378764,7152,4417,85.708,1.187,0.363,0.071,0.399,0.006,0.275,0.002,0.004,0.001,0.851,0.932,0.996
TIC 191477613,5409,3788,89.595,0.483,0.094,0.016,0.255,0.004,0.152,0.003,0.002,0.002,0.437,0.748,0.992
TIC 192990023,7677,6224,82.741,2.03,0.114,0.027,0.369,0.01,0.102,0.005,0.003,0.002,0.651,0.476,0.994
TIC 197766143,7628,4152,87.589,1.375,0.199,0.042,0.101,0.009,0.241,0.01,0,0.001,0.194,0.957,0.999
TIC 200363294,5045,3311,86.684,0.231,0.34,0.042,0.244,0.001,0.132,0.001,0.009,0.001,0.515,0.454,0.994
TIC 200363295,5279,3477,84.708,0.338,0.439,0.117,0.251,0.002,0.12,0.002,0.006,0.002,0.556,0.386,0.994
TIC 202601061,5476,3190,83.256,0.713,0.342,0.078,0.289,0.006,0.095,0.003,0.004,0.002,0.61,0.327,0.989
TIC 204497617,6348,3934,85.549,11.47,0.122,0.032,0.201,0.175,0.091,0.031,0.004,0.002,0.358,0.417,0.989
TIC 21371704,5917,4791,81.832,0.506,0.406,0.05,0.34,0.005,0.15,0.004,0.001,0.001,0.741,0.493,0.956
TIC 217587300,7163,4000,82.234,0.264,0.104,0.124,0.102,0.036,0.081,0.015,0.001,0,0.178,0.387,0.982
TIC 218210467,9146,5245,85.548,0.841,0.08,0.141,0.153,0.008,0.042,0.002,0.005,0.001,0.257,0.218,0.99
TIC 219699532,5920,3858,78.763,2.039,0.089,0.114,0.367,0.115,0.101,0.033,0,0,0.625,0.506,0.975
TIC 219840749,6382,6765,83.458,0.831,0.269,0.026,0.33,0.002,0.141,0.004,0.003,0.001,0.666,0.518,0.989
TIC 219912046,8090,3558,85.595,1.91,0.174,0.074,0.207,0.013,0.047,0.003,0.004,0.004,0.39,0.195,0.997
TIC 220042007,9072,6062,86.226,0.221,0.233,0.028,0.31,0.003,0.192,0.003,0.001,0,0.61,0.732,0.991
TIC 220430912,8868,6163,79.425,1.721,0.08,0.023,0.301,0.009,0.107,0.015,0.033,0.002,0.505,0.552,0.991
TIC 220521199,6530,4059,83.536,1.161,0.393,0.027,0.387,0.008,0.163,0.003,0.002,0.003,0.838,0.541,0.996
TIC 221849528,8171,4694,84.961,1.632,0.191,0.068,0.2,0.013,0.104,0.001,0.007,0.015,0.382,0.416,0.991
TIC 224293813,6408,6340,88.583,0.404,0.088,0.032,0.135,0.001,0.093,0.001,0.001,0,0.23,0.465,0.999
TIC 228809204,6280,5127,85.609,3.384,0.084,0.095,0.298,0.007,0.169,0.016,0.001,0.001,0.504,0.862,0.996
TIC 235594340,6118,5042,87.588,2.858,0.038,0.029,0.204,0.009,0.107,0.014,0.003,0.001,0.315,0.693,0.997
TIC 235598526,4967,4125,86.139,1.341,0.384,0.137,0.333,0.006,0.165,0.006,0.001,0.005,0.719,0.551,0.979
TIC 236973844,9438,5676,86.267,14.033,0.123,0.039,0.146,0.057,0.055,0.004,0.021,0.018,0.261,0.249,0.995
TIC 237332597,6664,3553,87.039,1.819,0.206,0.023,0.137,0.014,0.048,0.006,0.001,0.002,0.264,0.19,0.993
TIC 240812481,5980,3582,88.718,0.669,0.045,0.031,0.129,0.005,0.047,0.002,0,0.001,0.203,0.288,0.99
TIC 241013310,6519,4431,84.367,0.704,0.294,0.036,0.22,0.011,0.089,0.003,0.005,0.001,0.452,0.32,0.994
TIC 245132906,5491,4971,89.452,0.842,0.485,0.054,0.307,0.002,0.268,0.001,0,0.001,0.693,0.841,0.997
TIC 260376477,7983,3755,78.038,1.399,0.098,0.022,0.239,0.006,0.068,0.009,0.002,0.002,0.412,0.329,0.983
TIC 263930790,6860,6660,82.721,1.437,0.622,0.038,0.374,0.003,0.206,0.009,0.001,0.002,0.889,0.609,0.999
TIC 142443463,6064,4810,82.659,0.891,0.414,0.057,0.312,0.009,0.096,0.003,0.001,0.001,0.682,0.314,0.983
TIC 173180455,5326,4758,84.623,0.768,0.56,0.044,0.227,0.006,0.074,0.002,0.001,0.001,0.527,0.225,0.996
TIC 219173590,5815,3835,89.185,0.831,0.215,0.009,0.154,0.001,0.255,0.002,0,0,0.298,0.992,0.992
TIC 293083061,5346,4442,83.056,1.196,0.582,0.054,0.323,0.007,0.133,0.004,0.005,0.003,0.757,0.4,0.965
TIC 328860378,6377,5184,86.509,0.449,0.029,0.004,0.205,0.003,0.103,0.001,0,0,0.309,0.722,0.998
TIC 357999129,5751,4346,89.26,1.45,0.461,0.072,0.137,0.005,0.081,0.003,0.002,0.001,0.307,0.258,0.997
TIC 422252417,4975,3503,88.411,3.02,0.472,0.067,0.282,0.007,0.118,0.003,0.014,0.017,0.633,0.374,0.984
TIC 460099092,6503,4122,87.999,1.195,0.386,0.078,0.201,0.006,0.096,0.003,0,0,0.433,0.321,0.998
TIC 67807856,6365,4869,80.56,4.253,0.323,0.074,0.276,0.035,0.071,0.015,0.004,0.005,0.577,0.249,0.992
TIC 26656583,5212,3298,88.175,1.647,0.612,0.094,0.324,0.004,0.174,0.005,0.007,0.002,0.768,0.517,0.99
TIC 268383780,8366,5191,88.511,0.476,0.146,0.136,0.164,0.002,0.082,0.001,0.002,0.001,0.3,0.357,0.997
TIC 269059804,6660,3332,79.735,0.846,0.188,0.115,0.212,0.01,0.061,0.007,0.002,0.002,0.403,0.248,0.984
TIC 269746604,7124,5047,87.523,0.515,0.176,0.055,0.23,0.002,0.134,0.001,0.001,0.001,0.433,0.55,0.999
TIC 270204401,9194,4572,84.937,0.27,0.135,0.033,0.201,0.002,0.083,0.001,0.004,0.003,0.362,0.368,0.991
TIC 28157482,6345,4005,87.052,0.684,0.265,0.026,0.126,0.044,0.052,0.023,0.006,0.001,0.255,0.192,0.977
TIC 282051803,5957,3731,86.65,1.07,0.264,0.042,0.148,0.078,0.038,0.022,0.005,0.001,0.298,0.141,0.983
TIC 283881816,8807,4299,86.93,0.603,0.317,0.013,0.239,0.003,0.083,0.001,0.003,0.002,0.498,0.292,0.994
TIC 284892951,6735,3562,84.866,1.632,0.174,0.048,0.222,0.014,0.062,0.004,0.006,0.001,0.417,0.254,0.988
