name,T1,T2,incl,inclerror,q,qerror,r1,r1error,r2,r2error,f1,f2,R2
TIC 320539989,8828,4722,86.6711,0.7149,0.2455,0.0204,0.2437,0.0037,0.0945,0.0014,0.4845,0.3548,0.9977
TIC 321981878,5514,3473,88.6051,0.3372,0.3264,0.0289,0.2183,0.0008,0.1092,0.0006,0.4568,0.38,0.9993
TIC 324936149,5788,5967,89.885,2.0169,0.9754,0.0139,0.1446,0.0021,0.0551,0.0016,0.3793,0.1462,0.9971
TIC 328860378,6377,5188,87.1774,0.13,0.6214,0.0192,0.203,0.0006,0.0991,0.0004,0.4826,0.2928,0.9996
TIC 332210059,5135,3108,83.7498,0.3091,0.1958,0.0183,0.2646,0.0026,0.0937,0.001,0.5063,0.3744,0.9945
TIC 332600127,7867,4767,78.6999,0.3097,0.2625,0.0062,0.4169,0.0029,0.1027,0.0009,0.8386,0.379,0.9993
TIC 335265326,9063,6454,81.5397,0.2571,0.0226,0.0021,0.2902,0.0018,0.0764,0.0006,0.4269,0.5794,0.9896
TIC 33665328,6362,3473,85.1046,0.2853,0.076,0.0177,0.188,0.002,0.0588,0.0006,0.3137,0.3083,0.9989
TIC 337886863,6154,4739,88.9948,0.5589,0.068,0.0114,0.2384,0.0015,0.0511,0.0004,0.3923,0.2768,0.9834
TIC 339397374,7667,5255,81.6454,0.1855,0.2036,0.0132,0.3606,0.0015,0.1939,0.0013,0.6945,0.7663,0.9993
TIC 339570153,7859,5762,85.9882,0.31,0.0737,0.0348,0.1624,0.0027,0.0613,0.0011,0.2699,0.3244,0.9936
TIC 339607421,6270,3570,83.6642,0.135,0.0323,0.0185,0.1471,0.0015,0.0359,0.0006,0.2233,0.2439,0.9962
TIC 339680203,8257,6077,76.6503,0.0823,0.0134,0.0004,0.3045,0.0012,0.0635,0.0003,0.4308,0.5667,0.9891
TIC 339752384,5702,3898,87.461,0.4207,0.2132,0.0095,0.3911,0.0011,0.2326,0.001,0.7591,0.9077,0.9996
TIC 341549737,5808,3865,82.9423,0.8017,0.3242,0.0225,0.2999,0.005,0.0729,0.0014,0.6268,0.2542,0.9977
TIC 343127696,5824,5654,85.4497,0.485,0.7849,0.0524,0.2832,0.0027,0.1545,0.0018,0.7079,0.4313,0.9987
TIC 344123337,4847,4742,88.0624,0.5025,0.9543,0.0381,0.2614,0.0013,0.1193,0.0009,0.6825,0.3182,0.998
TIC 350738423,6551,5406,84.0204,0.5332,0.6022,0.0188,0.3146,0.0027,0.0875,0.0009,0.7429,0.2605,0.9992
TIC 353077789,8470,4422,84.3287,0.7441,0.1561,0.0193,0.2373,0.0054,0.0483,0.0012,0.438,0.2057,0.9883
TIC 357979050,5903,4914,86.4674,0.05,0.3501,0.0461,0.1716,0.0005,0.0939,0.0003,0.3637,0.3208,0.9996
